org_pac_id,facility_name,cbsa_title,rural,inland_empire,practice_size,incentive_ptcpt
5496657082,CLINICAS DE SALUD DEL PUEBLO INC,"El Centro, CA",urban,CA other,medium,No Meaningful Attest
3375873599,G2 ANESTHESIA PC,"San Jose-Sunnyvale-Santa Clara, CA",urban,CA other,medium,No Meaningful Attest
8921910225,PERMANENTE MEDICAL GROUP INC,"Santa Rosa-Petaluma, CA",urban,CA other,large,Meaningfully Attested
547164295,BEAVER MEDICAL GROUP PC,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,medium,Meaningfully Attested
1153227814,FACULTY PHYSICIANS AND SURGEONS OF LLUSM,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,large,Meaningfully Attested
9234114067,CENTRAL COAST EMERGENCY PHYSICIANS,"San Luis Obispo-Paso Robles, CA",urban,CA other,medium,No Meaningful Attest
NA,,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,NA,No Meaningful Attest
4688567118,SPORTS MEDICINE INSTITUTE A PROFESSIONAL PHYSICAL THERAPY CORP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
840504114,RHN CLARK MEMORIAL PHYSICIAN PRACTICES LLC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
1052309424,RADIOLOGY ASSOCIATES OF OXFORD - PA,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
1153591763,NORTH STAR FM LP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
1850796681,SOL RADIOLOGY INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
2062734858,RAPID RADIOLOGY INC,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,medium,Meaningfully Attested
2365850948,VESTA TELEMEDICINE SOLUTIONS PC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
2769574854,NORTH STAR MRI OF FRISCO LP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
5890762330,NORTH STAR MRI LP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
6800168576,NORTH STAR FP LP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
8729118021,"NORTH STAR DIAGNOSTIC IMAGING, LLC","Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
244616787,JULIET DEL PIERO MD INC,"Salinas, CA",urban,CA other,small,No Meaningful Attest
2062300239,MODESTO RADIOLOGICAL MEDICAL GROUP INC,"San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
2062300239,MODESTO RADIOLOGICAL MEDICAL GROUP INC,"Modesto, CA",urban,CA other,medium,No Meaningful Attest
8527967082,ANESTHESIA CONSULTANTS OF FRESNO,"Fresno, CA",urban,CA other,medium,Meaningfully Attested
8921910225,PERMANENTE MEDICAL GROUP INC,"San Jose-Sunnyvale-Santa Clara, CA",urban,CA other,large,No Meaningful Attest
NA,,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,NA,No Meaningful Attest
5799158564,VISIONARY OPTOMETRIC INC,"Sacramento-Roseville-Folsom, CA",urban,CA other,small,Meaningfully Attested
9335536440,MATIN KHOSHNEVIS MD INC,"Sacramento-Roseville-Folsom, CA",urban,CA other,small,Meaningfully Attested
NA,,"Modesto, CA",urban,CA other,NA,No Meaningful Attest
